date,new_cases,reproduction_rate,icu_patients,hosp_patients,new_tests,positive_rate,people_vaccinated,people_fully_vaccinated,new_vaccinations,Lockdown,Variant,Vaccine,GDP_PER_CAPITA,Population,Mortality_Rate
2020-05-01,4730.0,0.94,2178.0,14723.0,74142.0,0.08800000000000001,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,1.0311403805709348e-05
2020-05-02,3230.0,0.91,2068.0,14380.0,63559.0,0.079,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,8.617387466199956e-06
2020-05-03,2977.0,0.87,2009.0,14188.0,68203.0,0.071,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,3.726835946920664e-06
2020-05-04,3383.0,0.82,1936.0,14097.0,72630.0,0.061,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,4.021447484226646e-06
2020-05-05,3689.0,0.81,1874.0,13723.0,66919.0,0.057,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,1.0679668227341825e-05
2020-05-06,3836.0,0.8,1802.0,13148.0,74455.0,0.053,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,9.530683231848497e-06
2020-05-07,3771.0,0.81,1685.0,12626.0,77466.0,0.051,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,6.7466042043069736e-06
2020-05-08,3052.0,0.81,1642.0,12053.0,76963.0,0.047,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,8.54373458187346e-06
2020-05-09,2150.0,0.82,1585.0,12015.0,77152.0,0.044000000000000004,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,4.050908637957244e-06
2020-05-10,2322.0,0.84,1538.0,11727.0,76507.0,0.042,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,3.196535179769898e-06
2020-05-11,3589.0,0.85,1485.0,11967.0,70332.0,0.043,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,2.7693484506762246e-06
2020-05-12,3395.0,0.84,1414.0,11591.0,74593.0,0.042,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,9.059304772158927e-06
2020-05-13,3300.0,0.81,1342.0,11342.0,83182.0,0.04,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,6.599298435653982e-06
2020-05-14,2618.0,0.79,1314.0,10921.0,84693.0,0.038,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,5.199893633450571e-06
2020-05-15,2521.0,0.8,1337.0,10691.0,91342.0,0.036000000000000004,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,5.170432479719973e-06
2020-05-16,2072.0,0.81,1234.0,10238.0,91360.0,0.035,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,6.054267091637917e-06
2020-05-17,1826.0,0.82,1196.0,10199.0,81278.0,0.033,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,9.869486499750376e-07
2020-05-18,2577.0,0.83,1141.0,10231.0,70074.0,0.032,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,2.150664222333664e-06
2020-05-19,3058.0,0.84,1106.0,10013.0,86041.0,0.031,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,7.380019009514833e-06
2020-05-20,2712.0,0.82,1034.0,9563.0,86634.0,0.03,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,4.846359788683393e-06
2020-05-21,2554.0,0.8,1008.0,9293.0,105655.0,0.028999999999999998,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,4.021447484226646e-06
2020-05-22,2041.0,0.77,964.0,9184.0,91196.0,0.027999999999999997,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,4.286597867802029e-06
2020-05-23,1508.0,0.74,928.0,8814.0,91841.0,0.027000000000000003,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,3.240726910365795e-06
2020-05-24,1355.0,0.72,886.0,8814.0,59464.0,0.027000000000000003,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,5.582888631948347e-06
2020-05-25,1613.0,0.7,863.0,8836.0,78385.0,0.022000000000000002,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.5319799939911032e-06
2020-05-26,1659.0,0.69,847.0,8732.0,77745.0,0.02,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.929705569354178e-06
2020-05-27,1809.0,0.71,783.0,8220.0,82670.0,0.019,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,6.216303437156207e-06
2020-05-28,1736.0,0.73,751.0,7907.0,101753.0,0.018000000000000002,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,5.05258786479758e-06
2020-05-29,1508.0,0.73,719.0,7586.0,105459.0,0.017,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,4.036178061091945e-06
2020-05-30,1107.0,0.73,704.0,7268.0,96995.0,0.016,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,2.2685088372560565e-06
2020-05-31,1070.0,0.74,679.0,7238.0,82243.0,0.015,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,8.838346119179441e-07
2020-06-01,1444.0,0.74,652.0,7248.0,70648.0,0.017,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.2668296104157199e-06
2020-06-02,1470.0,0.74,636.0,7087.0,92299.0,0.016,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,3.682644216324767e-06
2020-06-03,1349.0,0.73,602.0,6815.0,101885.0,0.015,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,3.7415665237859632e-06
2020-06-04,1238.0,0.72,571.0,6580.0,99484.0,0.013999999999999999,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.914974992488879e-06
2020-06-05,1110.0,0.72,554.0,6379.0,101961.0,0.013999999999999999,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,3.8004888312471597e-06
2020-06-06,794.0,0.72,540.0,6149.0,93154.0,0.013000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,2.106472491737767e-06
2020-06-07,718.0,0.73,515.0,5944.0,86926.0,0.013000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,7.954511507261497e-07
2020-06-08,1094.0,0.76,509.0,5931.0,69999.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,6.923371126690562e-07
2020-06-09,1159.0,0.79,491.0,5737.0,93959.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,2.9019236424639163e-06
2020-06-10,1186.0,0.82,439.0,5476.0,101033.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,2.4158146059090474e-06
2020-06-11,1007.0,0.82,390.0,5180.0,101778.0,0.01,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.1195238417627293e-06
2020-06-12,1054.0,0.83,393.0,5090.0,98899.0,0.01,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.929705569354178e-06
2020-06-13,888.0,0.84,390.0,4941.0,98974.0,0.01,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.5761717245870004e-06
2020-06-14,807.0,0.86,393.0,4908.0,69529.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,3.9772557536307484e-07
2020-06-15,1031.0,0.87,385.0,4870.0,71402.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,4.27186729093673e-07
2020-06-16,1083.0,0.87,378.0,4863.0,80862.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.7676692238358882e-06
2020-06-17,999.0,0.88,357.0,4719.0,86438.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.6203634551828976e-06
2020-06-18,1020.0,0.87,352.0,4560.0,89613.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,9.869486499750376e-07
2020-06-19,984.0,0.84,330.0,4414.0,90547.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.2373684566851217e-06
2020-06-20,666.0,0.81,346.0,4252.0,83467.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.0458709574362338e-06
2020-06-21,624.0,0.81,310.0,4222.0,60484.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,4.566478828242711e-07
2020-06-22,892.0,0.82,340.0,4281.0,63026.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.914974992488879e-07
2020-06-23,882.0,0.81,311.0,4134.0,73646.0,0.011000000000000001,0.0,0.0,0.0,1,0,0,39753.244,67886004.0,1.3846742253381123e-06
2020-06-24,777.0,0.8,316.0,4030.0,91135.0,0.01,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,1.2815601872810189e-06
2020-06-25,697.0,0.77,276.0,3850.0,108124.0,0.009000000000000001,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,1.4583271096646077e-06
2020-06-26,639.0,0.72,268.0,3620.0,105971.0,0.008,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,1.1342544186280283e-06
2020-06-27,634.0,0.69,270.0,3544.0,100631.0,0.008,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,5.892230746119627e-07
2020-06-28,407.0,0.66,270.0,3557.0,83157.0,0.006999999999999999,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,4.566478828242711e-07
2020-06-29,620.0,0.63,262.0,3748.0,75662.0,0.006999999999999999,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,3.093421141712804e-07
2020-06-30,404.0,0.54,279.0,3383.0,112164.0,0.006,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,7.954511507261497e-07
2020-07-01,63.0,0.5,259.0,3198.0,123348.0,0.005,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,1.4288659559340095e-06
2020-07-02,6.0,0.56,239.0,3079.0,136186.0,0.004,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,6.039536514772618e-07
2020-07-03,502.0,0.74,231.0,2942.0,139218.0,0.003,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,7.217982663996544e-07
2020-07-04,625.0,0.87,221.0,2802.0,114274.0,0.003,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,4.7137845968957016e-07
2020-07-05,519.0,0.93,217.0,2741.0,92774.0,0.003,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,2.798809604406823e-07
2020-07-06,359.0,0.96,209.0,2699.0,77469.0,0.003,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,1.6203634551828976e-07
2020-07-07,584.0,1.03,197.0,2598.0,106977.0,0.003,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,7.954511507261497e-07
2020-07-08,637.0,1.12,185.0,2454.0,127389.0,0.004,0.0,0.0,0.0,0,0,0,39753.244,67886004.0,8.396428813220469e-07
